X_Scale,Y_Scale,H_Ell_Scale,NS,CMI_na,Weird_Depth_na,CMI_Depth,CMI_FileNum,CMI_SurfElev,CMI_Thickness,DICE_FileNum,DICE_IceBase,DICE_SurfElev,DICE_Thickness,H_Ell,SIR_IceBase,SIR_SurfElev_clean,SIR_Thickness,SurfHell_Edit_lidar_edit,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031,
-8.065931064,-131.0211959,8.96923,9,-9999,-9999,,,,,,,,,893.62,,,,,,,,,,-80659.31064,-1310211.959
-8.056886144,-131.0211367,8.96704,9,-9999,-9999,,,,,,,,,893.615,,,,,,,,,,-80568.86144,-1310211.367
-8.047843984,-131.0210738,8.96619,9,-9999,-9999,,,,,,,,,893.729,,,,,,,,,,-80478.43984,-1310210.738
-8.038802027,-131.0210072,8.96656,9,-9999,-9999,,,,,,,,,893.702,,,,,,,,,,-80388.02027,-1310210.072
-8.029760995,-131.0209384,8.96683,9,-9999,-9999,,,,,,,,,893.704,,,,,,,,,,-80297.60995,-1310209.384
-8.020723243,-131.0208708,8.96629,9,-9999,-9999,,,,,,,,,893.832,,,,,,,,,,-80207.23243,-1310208.708
-8.011687686,-131.0208055,8.96582,9,-9999,-9999,,,,,,,,,893.97,,,,,,,,,,-80116.87686,-1310208.055
-8.002652457,-131.0207402,8.96587,9,-9999,-9999,,,,,,,,,894.072,,,,,,,,,,-80026.52457,-1310207.402
-7.993618415,-131.0206739,8.96641,9,-9999,-9999,,,,,,,,,894.228,,,,,,,,,,-79936.18415,-1310206.739
-7.984585617,-131.0206076,8.96716,9,-9999,-9999,,,,,,,,,894.443,,,,,,,,,,-79845.85617,-1310206.076
-7.975553976,-131.0205454,8.96784,9,-9999,-9999,,,,,,,,,894.592,,,,,,,,,,-79755.53976,-1310205.454
-7.96652335,-131.0204882,8.96883,9,-9999,-9999,,,,,,,,,894.627,,,,,,,,,,-79665.2335,-1310204.882
-7.957494794,-131.0204296,8.97001,9,-9999,-9999,,,,,,,,,894.702,,,,,,,,,,-79574.94794,-1310204.296
-7.948468897,-131.0203684,8.97107,9,-9999,-9999,,,,,,,,,894.882,,,,,,,,,,-79484.68897,-1310203.684
-7.939444852,-131.0203073,8.97231,9,-9999,-9999,,,,,,,,,895.183,,,,,,,,,,-79394.44852,-1310203.073
-7.930420489,-131.0202456,8.97335,9,-9999,-9999,,,,,,,,,895.472,,,,,,,,,,-79304.20489,-1310202.456
-7.921394421,-131.0201827,8.97409,9,-9999,-9999,,,,,,,,,895.732,,,,,,,,,,-79213.94421,-1310201.827
-7.912366971,-131.020114,8.97522,9,-9999,-9999,,,,,,,,,896.012,,,,,,,,,,-79123.66971,-1310201.14
-7.903338099,-131.0200392,8.97661,9,-9999,-9999,,,,,,,,,896.279,,,,,,,,,,-79033.38099,-1310200.392
-7.894307155,-131.0199623,8.97736,9,-9999,-9999,,,,,,,,,896.407,,,,,,,,,,-78943.07155,-1310199.623
-7.885273273,-131.0198881,8.97737,9,-9999,-9999,,,,,,,,,896.369,,,,,,,,,,-78852.73273,-1310198.881
-7.876237458,-131.0198194,8.97709,9,-9999,-9999,,,,,,,,,896.286,,,,,,,,,,-78762.37458,-1310198.194
-7.867200889,-131.0197576,8.97693,9,-9999,-9999,,,,,,,,,896.299,,,,,,,,,,-78672.00889,-1310197.576
-7.858162035,-131.0197011,8.97679,9,-9999,-9999,,,,,,,,,896.389,,,,,,,,,,-78581.62035,-1310197.011
-7.849118133,-131.0196463,8.9763,9,-9999,-9999,,,,,,,,,896.411,,,,,,,,,,-78491.18133,-1310196.463
-7.840068551,-131.0195875,8.97591,9,-9999,-9999,,,,,,,,,896.365,,,,,,,,,,-78400.68551,-1310195.875
-7.83101432,-131.0195243,8.976,9,-9999,-9999,,,,,,,,,896.309,,,,,,,,,,-78310.1432,-1310195.243
-7.821957325,-131.0194616,8.9767,9,-9999,-9999,,,,,,,,,896.335,,,,,,,,,,-78219.57325,-1310194.616
